text1,text2,label
Programmer en Python,Peindre à l'aquarelle,0
Créer un dessin,Animer une discussion,0
Faire une sauce,Prendre l'air frais,0
Investir en bourse,Négocier un prix,1
Organiser une conférence,Cuisiner des légumes,0
Épargner de l'argent,Jouer du violon,0
Faire du jogging,Conduire une trottinette,0
Faire du ski,Faire du jogging,1
Calculer ses dépenses,Faire ses comptes,1
Manger équilibré,Utiliser un vélo électrique,0
Négocier un prix,Sculpter une statue,0
Réparer un ordinateur,Jouer au basketball,0
Créer une base de données,Configurer un réseau,1
Conduire une voiture,Gérer le stress,0
Animer un atelier,Composer une mélodie,0
Monitorer un système,Créer un site web,1
Installer une étagère,Comparer les prix,0
Utiliser un taxi,Réparer une fuite,0
Créer une œuvre,Jouer du violon,1
Réparer un ordinateur,Automatiser une tâche,1
Prendre soin de sa peau,Faire de l'exercice,1
Faire du stretching,Faire de l'exercice,1
Gérer son budget,Faire la vaisselle,0
Faire de l'auto-stop,Utiliser un vélo électrique,1
Prendre l'avion,Marcher en ville,1
Aller chez le dentiste,Faire un bilan de santé,1
Payer ses factures,Dormir suffisamment,0
Rédiger une lettre,Écrire un message,1
Investir en bourse,Entretenir le jardin,0
Faire la vaisselle,Éplucher des légumes,0
Prendre un ferry,Consulter un médecin,0
Prendre un ferry,Pratiquer le yoga,0
Aller chez le dentiste,Prendre soin de sa peau,1
Organiser un placard,Faire du pain,0
Animer un atelier,Expliquer un concept,1
Faire de la randonnée,Animer une réunion,0
Sculpter une statue,Ranger la maison,0
Préparer un examen,Préparer une leçon,1
Faire les courses,Demander un crédit,1
Faire un bilan de santé,Prendre soin de sa peau,1
Prendre la parole en public,Faire cuire des pâtes,0
Préparer une soupe,Faire un discours,0
Peindre un tableau,Pratiquer le yoga,0
Organiser un placard,Planter des fleurs,1
Jouer de la guitare,Composer une mélodie,1
Conduire une voiture,Prendre le train,1
Jouer de la guitare,Laver les vitres,0
Installer un logiciel,Modérer un débat,0
Développer une application,Créer une base de données,1
Faire griller de la viande,Présenter un projet,0
Jouer au volleyball,Cuisiner des légumes,0
Payer ses factures,Ouvrir un compte,1
